"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 04 21:30:07 UTC 2026","Tue Aug 04 21:30:11 UTC 2026","3431","","AC1 - User Login Tests","","com.testsmith.tests.LoginTests","testLoginWithEmptyEmail","AC1.4 - Verify validation error when email field is empty","Verify that the user remains on the login page when attempting to submit with an empty email field"
"passed","Tue Aug 04 21:29:44 UTC 2026","Tue Aug 04 21:29:44 UTC 2026","392","","AC1.1 - API User Login Tests","","com.testsmith.tests.api.UserApiTests","testApiLoginWithEmptyEmail","AC1.1 - Verify API login with empty email fails","Verify that API login with empty email returns an error"
"passed","Tue Aug 04 21:29:41 UTC 2026","Tue Aug 04 21:29:43 UTC 2026","2048","","AC1.1 - API User Login Tests","","com.testsmith.tests.api.UserApiTests","testApiLoginWithEmptyCredentials","AC1.1 - Verify API login with empty email and password fails","Verify that API login with empty credentials returns an error"
"passed","Tue Aug 04 21:29:44 UTC 2026","Tue Aug 04 21:29:45 UTC 2026","387","","AC1.1 - API User Login Tests","","com.testsmith.tests.api.UserApiTests","testApiLoginWithEmptyPassword","AC1.1 - Verify API login with empty password fails","Verify that API login with empty password returns an error"
"passed","Tue Aug 04 21:29:45 UTC 2026","Tue Aug 04 21:30:05 UTC 2026","19882","","AC1 - User Login Tests","","com.testsmith.tests.LoginTests","testLoginWithValidCredentials","AC1.1 - Verify user can login with valid credentials","Verify that a user can successfully log in with valid credentials and is redirected away from the login page"
"passed","Tue Aug 04 21:30:05 UTC 2026","Tue Aug 04 21:30:07 UTC 2026","2222","","AC1 - User Login Tests","","com.testsmith.tests.LoginTests","testLoginPageElementsLoaded","AC1.3 - Verify login page displays all required elements","Verify that all required login page elements (form, email input, password input, login button) are visible on page load"
"passed","Tue Aug 04 21:30:11 UTC 2026","Tue Aug 04 21:30:15 UTC 2026","4480","","AC1 - User Login Tests","","com.testsmith.tests.LoginTests","testLoginWithInvalidCredentials","AC1.2 - Verify error message appears with invalid credentials","Verify that an error message is displayed when user attempts to login with invalid credentials"
"passed","Tue Aug 04 21:30:15 UTC 2026","Tue Aug 04 21:30:19 UTC 2026","3382","","AC1 - User Login Tests","","com.testsmith.tests.LoginTests","testLoginWithEmptyPassword","AC1.5 - Verify validation error when password field is empty","Verify that the user remains on the login page when attempting to submit with an empty password field"
"passed","Tue Aug 04 21:29:43 UTC 2026","Tue Aug 04 21:29:44 UTC 2026","922","","AC1.1 - API User Login Tests","","com.testsmith.tests.api.UserApiTests","testApiLoginWithInvalidCredentials","AC1.1 - Verify API login with invalid credentials fails","Verify that API login with invalid credentials returns an error and no access token"
"passed","Tue Aug 04 21:29:45 UTC 2026","Tue Aug 04 21:29:45 UTC 2026","518","","AC1.1 - API User Login Tests","","com.testsmith.tests.api.UserApiTests","testApiLoginWithValidCredentials","AC1.1 - Verify API login with valid credentials returns access token","Verify that a user can successfully login via API with valid credentials and receive an access token"
